2000,0,2,2
P00001,B151,2,1
P00001,B150,2,1
P00001,B149,2,1
P00004,B079,1,2
P00004,B079,1,2
P00001,B152,2,1
P00001,B164,2,2
P00004,B080,1,1
P00004,B080,1,1
P00004,B081,1,1
P00004,B081,1,1
P00001,B165,2,1
P00025,B112,2,1
P00025,B112,2,1
P00025,B113,2,2
P00025,B113,2,2
P00025,B114,2,1
P00025,B114,2,1
P00025,B115,3,1
P00025,B115,3,1
P00025,B116,3,1
P00191,B002,2,1
P00025,B116,3,1
P00191,B003,2,1
P00025,B117,2,1
P00191,B004,2,1
P00025,B117,2,1
P00191,B005,2,1
P00025,B118,2,1
P00025,B118,2,1
P00001,B166,2,2
P00007,B089,3,0
P00007,B089,3,0
P00007,B090,3,0
P00007,B092,3,0
P00001,B167,2,2
P00001,B169,2,1
P00119,B003,2,1
P00317,B001,2,2
P00317,B001,2,2
P00317,B002,2,2
P00317,B002,2,2
P00001,B200,2,2
P00020,B021,1,1
P00273,B004,1,1
P00022,B008,1,1
P00288,B005,1,1
P00276,B006,1,1
P00323,B001,3,0
P00323,B001,3,0
P00323,B002,3,0
P00323,B002,3,0
P00323,B003,3,0
P00323,B003,3,0
P00323,B004,3,0
P00323,B004,3,0
P00323,B005,3,0
P00323,B005,3,0
P00323,B006,3,0
P00323,B006,3,0
P00046,B001,2,1
P00046,B002,2,1
P00046,B003,2,1
P00046,B004,2,2
P00046,B005,2,1
P00046,B006,2,2
P00046,B007,2,1
P00324,B001,3,0
P00046,B008,2,2
P00324,B001,3,0
P00046,B009,1,2
P00324,B002,3,0
P00046,B010,2,2
P00324,B002,3,0
P00046,B011,1,2
P00324,B003,3,0
P00046,B012,2,1
P00324,B003,3,0
P00046,B013,2,1
P00324,B004,3,0
P00046,B014,2,1
P00324,B004,3,0
P00046,B015,2,1
P00028,B030,2,2
P00046,B016,2,1
P00046,B017,2,1
P00027,B005,2,1
P00046,B018,2,1
P00325,B003,3,0
P00067,B030,2,1
P00325,B003,3,0
P00046,B021,2,1
P00046,B022,2,1
P00046,B023,2,1
P00046,B024,2,1
P00046,B025,2,1
P00046,B026,2,1
P00046,B027,2,2
P00007,B130,3,0
P00046,B028,2,1
P00007,B130,3,0
P00046,B030,2,3
P00046,B031,2,3
P00046,B032,2,3
P00047,B032,2,1
P00046,B033,2,3
P00047,B033,2,1
P00046,B034,2,3
P00046,B035,2,3
P00046,B038,2,2
P00025,B092,1,2
P00046,B039,2,2
P00025,B092,1,2
P00046,B041,2,3
P00026,B075,2,1
P00026,B075,2,1
P00209,B001,2,2
P00323,B011,3,0
P00323,B011,3,0
P00047,B012,2,1
P00047,B013,2,1
P00007,B135,3,0
P00047,B016,2,1
P00007,B136,3,0
P00047,B017,2,1
P00007,B136,3,0
P00047,B018,2,1
P00047,B019,2,1
P00047,B021,2,1
P00007,B138,3,0
P00047,B022,2,1
P00007,B138,3,0
P00047,B023,2,1
P00048,B001,2,1
P00048,B002,2,1
P00048,B004,2,1
P00048,B005,2,1
P00048,B006,2,1
P00048,B007,2,1
P00191,B042,2,2
P00191,B043,2,1
P00025,B093,1,1
P00025,B093,1,1
P00025,B094,1,1
P00025,B094,1,1
P00025,B095,1,2
P00025,B095,1,2
P00025,B096,1,1
P00025,B096,1,1
P00001,B221,3,2
P00001,B221,3,2
P00001,B222,3,1
P00001,B222,3,1
P00060,B003,2,1
P00060,B004,2,1
P00301,B001,2,1
P00301,B001,2,1
P00191,B006,2,1
P00001,B171,2,1
P00216,B001,2,1
P00293,B004,2,1
P00293,B004,2,1
P00293,B005,2,1
P00293,B005,2,1
P00297,B004,2,1
P00297,B004,2,1
P00304,B001,2,1
P00304,B001,2,1
P00304,B002,2,1
P00304,B002,2,1
P00293,B006,2,1
P00293,B006,2,1
P00297,B005,2,1
P00297,B005,2,1
P00295,B001,2,1
P00295,B001,2,1
P00305,B002,2,1
P00305,B002,2,1
P00305,B003,2,1
P00305,B003,2,1
P00046,B053,2,1
P00195,B020,2,1
P00195,B020,2,1
P00195,B021,2,2
P00195,B021,2,2
P00195,B022,2,1
P00111,B002,2,1
P00195,B022,2,1
P00111,B003,2,1
P00194,B026,2,1
P00111,B004,2,1
P00194,B026,2,1
P00111,B005,2,3
P00034,B051,2,2
P00111,B006,2,2
P00034,B051,2,2
P00111,B007,2,1
P00031,B039,2,2
P00031,B039,2,2
P00275,B005,2,2
P00275,B005,2,2
P00269,B011,2,2
P00269,B011,2,2
P00274,B002,2,2
P00274,B002,2,2
P00306,B001,2,2
P00306,B001,2,2
P00306,B002,2,1
P00306,B002,2,1
P00308,B001,2,2
P00308,B001,2,2
P00001,B223,1,1
P00001,B223,1,1
P00025,B098,3,1
P00025,B098,3,1
P00025,B099,2,1
P00025,B099,2,1
P00025,B100,3,1
P00025,B100,3,1
P00025,B101,2,4
P00025,B101,2,4
P00025,B102,2,4
P00025,B102,2,4
P00298,B004,2,1
P00298,B004,2,1
P00298,B005,2,1
P00298,B005,2,1
P00298,B006,2,1
P00298,B006,2,1
P00301,B002,1,2
P00301,B002,1,2
P00309,B001,2,1
P00309,B001,2,1
P00311,B001,1,2
P00311,B001,1,2
P00184,B013,2,1
P00184,B013,2,1
P00026,B076,2,1
P00026,B076,2,1
P00313,B001,1,2
P00313,B001,1,2
P00146,B002,2,1
P00147,B001,2,1
P00147,B002,2,1
P00150,B002,2,1
P00151,B005,2,1
P00022,B006,3,1
P00153,B005,2,1
P00001,B020,2,1
P00001,B021,2,1
P00001,B023,2,1
P00001,B024,2,1
P00025,B091,3,2
P00001,B025,2,1
P00025,B091,3,2
P00001,B027,2,1
P00288,B003,2,1
P00288,B003,2,1
P00031,B037,2,1
P00001,B044,2,1
P00031,B037,2,1
P00031,B038,2,1
P00031,B038,2,1
P00275,B003,2,1
P00275,B003,2,1
P00275,B004,2,1
P00275,B004,2,1
P00094,B019,1,1
